,Name,Location,Day,Start_hour
0,Triển lãm Quốc tế Thực phẩm và Đồ uống 2022 tại Hà Nội,Hoàn Kiếm,2022-11-09,All day
1,"International Conference on Science, Education, and Viable Engineering",Hà Nội,2022-11-10,All day
2,WORK THE NORDIC WAY 2022,InterContinental Hà Nội Westlake,2022-11-11,12:30
3,Hanoi FC Vs Viettel,Sân vận động Hàng Đẫy,2022-11-12,14:15
4,"S P A C E | Phnom Penh, 'Miniparty'",Christina's Hanoi - Secret Garden,2022-11-13,19:00
5,MEET THE EXPERTS - HỘI NGHỊ BĐS & NGHỈ DƯỠNG LỚN NHẤT VIỆT NAM,Meliá Hanoi,2022-11-14,01:30
6,Magnificent Mekong,Hà Nội,2022-11-15,All day
7,Hanoi Motorbike Tours Led By Women: Hanoi City Insight Motorbike Tours,Nhà hát Lớn Hà Nội,2022-11-16,08:00
8,Boarding and High School Fair Vietnam,Hà Nội,2022-11-17,All day
9,Begin Edu Fair- Hanoi,Khách sạn Hilton Hanoi Opera,2022-11-18,All day
10,VIETNAM CYCLE,Hanoi International Center For Exhibition (I.c.e.),2022-11-19,All day
11,Vietnam 2022,Hanoi Vietnam,2022-11-20,07:00
12,Ngày ngôn ngữ Châu Âu 2022 | The European Day of Languages 2022,Viện Goethe Hà Nội,2022-11-21,13:00
13,Begin Edu Fair Hanoi (Vietnam),Pullman Hanoi Hotel,2022-11-22,14:00
14,"Điện Ảnh: ""IT'S A WONDERFUL LIFE"", 1946",Vincent Le Café,2022-11-23,15:00
15,VNAM: A NIGHT OF MODERN & CLASSICAL MUSIC,Phòng hoà nhạc học viện âm nhạc quốc gia việt nam,2022-11-24,20:00
16,Savage Invites Moody Mehran & Discrete Circuit,Savage Hanoi,2022-11-25,22:00
17,Trang An Marathon,Hà Nội,2022-11-26,All day
18,MTA VIETNAM HANOI,Hanoi International Center For Exhibition (I.c.e.),2022-11-27,All day
19,[Offline] Ngày Trải Nghiệm RMIT 2022 tại Hà Nội & Nam Sài Gòn,"Trường Đại Học RMIT, cơ sở Hà Nội",2022-11-28,08:00
20,Ha Noi vs Hà Nội II,Sân vận động Hàng Đẫy,2022-11-29,18:00
21,GALA HAT 2022: (60),Trung tâm Nghệ thuật Âu Cơ,2022-11-30,19:00
22,Hanoi Moped Tours: Hanoi Scooter Food Tours Led By Women,Nhà hát Lớn Hà Nội,2022-12-01,18:00
23,Khoá học: Cuộc Đời Chúa Cứu Thế,Hà Nội,2022-12-02,20:00
24,APRSAF Meeting And Conference,Hà Nội,2022-12-03,All day
25,"HỘI THẢO KHQG ""Giải pháp phát triển kinh tế số và thương mại điện tử bền vững cho Việt Nam""",Trường Đại học Thương mại,2022-12-04,08:00
26,Jeep Tours Hanoi: Half Day City Tours Led By Women,Nhà hát Lớn Hà Nội,2022-12-05,08:00
27,Vietnam AutoExpo,Trung Tâm Hội Nghị Quốc Gia Việt Nam,2022-12-06,06:00
28,Triển lãm quốc tế về CNHT và Chế biến chế tạo VIMEXPO 2022 TNE,Trung tâm Hội chợ Triển lãm quốc tế I.C.E Hà Nội,2022-12-07,07:00
29,Space4Diversity: Promoting Diversity in the Asia-Pacific Space Sector,Sheraton Hanoi Hotel,2022-12-08,09:30
30,Hanoi Speakers: 279th Public Meeting,The Learning Hub,2022-12-09,18:45
31,HANOI BRASS WEEK 2022,Viện Goethe Hà Nội,2022-12-10,All day
32,PRINCESS TOMATO LIVE AT HRC,Hanoi Rock City,2022-12-11,21:00
33,HO TRAM ANH'S ALBUM RELEASE LIVESHOW: The Poetry of Streetlights,Hanoi Rock City,2022-12-12,20:00
34,Bloom • Cosmic Funk • Bloom Preparty • HRC,Hanoi Rock City,2022-12-13,19:30
35,COLD SPHERES 2022,Hanoi Rock City,2022-12-14,20:00
36,Chiếu phim: 𝗧𝗵𝗲 𝗦𝗲𝗰𝗿𝗲𝘁 𝗢𝗳 𝗞𝗲𝗹𝗹𝘀,CA' Library • Thư viện Kiến trúc - Nghệ thuật,2022-12-15,19:30
37,ArchTalk: Trí tuệ nhân tạo và vũ trụ số sẽ thay đổi kiến trúc như thế nào?,CA' Library • Thư viện Kiến trúc - Nghệ thuật,2022-12-16,19:00
38,"Điện Ảnh: ""Before Sunrise"" (Trước Lúc Bình Minh), 1995",Vincent Le Café  · Hà Nội,2022-12-17,20:30
39,"Điện Ảnh: ""About Time"" (Đã Đến Lúc), 2013",Vincent Le Café  · Hà Nội,2022-12-18,20:30
40,"Điện Ảnh: ""Phantom Thread"" (Tình Yêu và Thời Trang), Oscar 2018",Vincent Le Café  · Hà Nội,2022-12-19,20:30
41,"Điện Ảnh: ""Last Christmas"" (Giáng Sinh Năm Ấy), 2019",Vincent Le Café  · Hà Nội,2022-12-20,18:00
42,"Phim dịp Giáng Sinh: ""Home Alone"" (Ở Nhà Một Mình), 1990",Vincent Le Café  · Hà Nội,2022-12-21,19:30
43,"Phim Mồng 4 Tết 2022: ""WUTHERING HEIGHTS"" (ĐỒI GIÓ HÚ), 2009",Vincent Le Café  · Hà Nội,2022-12-22,14:30
44,"Phim 26 Tết 2022: ""BROOKLYN"", Oscar 2016",Vincent Le Café  · Hà Nội,2022-12-23,19:30
45,"Điện Ảnh: ""Pride and Prejudice"" (Kiêu Hãnh và Định Kiến), 2005",Vincent Le Café  · Hà Nội,2022-12-24,20:30
46,"Điện Ảnh: ""WHEN IN ROME"" (Chuyện Tình ở Rome), 2009",Vincent Le Café  · Hà Nội,2022-12-25,18:30
47,"Điện Ảnh: ""Under The Tuscan Sun"" (Dưới Nắng Trời Tuscan), 2003",Vincent Le Café  · Hà Nội,2022-12-26,20:00
48,"Điện Ảnh: ""Brooklyn"" (Phận Người Xa Xứ), Oscar 2016",Vincent Le Café  · Hà Nội,2022-12-27,20:15
49,"Điện Ảnh: ""Giáng Sinh Năm Ấy"" (Last Christmas), 2019",Vincent Le Café  · Hà Nội,2022-12-28,20:30
50,"Điện Ảnh: ""Before Midnight"" (Trước Lúc Nửa Đêm), 2013",Vincent Le Café  · Hà Nội,2022-12-29,18:45
51,"Điện Ảnh: ""TITANIC"", Oscar Lần Thứ 70 (1998)",Vincent Le Café  · Hà Nội,2022-12-30,15:30
52,"Điện Ảnh: ""Wuthering Heights"" (Đồi Gió Hú), 2009",Vincent Le Café  · Hà Nội,2022-12-31,16:00
53,"Điện Ảnh: ""500 Days of Summer"" (500 Ngày Yêu), 2009",Vincent Le Café  · Hà Nội,2023-01-01,18:30
54,"Điện Ảnh: ""PHANTOM THREAD"" (Tình Yêu và Thời Trang), Oscar 2018",Vincent Le Café  · Hà Nội,2023-01-02,18:30
55,"Điện Ảnh: ""LOVING VINCENT"", Oscar 2017",Vincent Le Café  · Hà Nội,2023-01-03,18:30
56,"Điện Ảnh: ""Eternal Sunshine of The Spotless Mind"" (Ký Ức Tình Yêu), 2004",Vincent Le Café  · Hà Nội,2023-01-04,20:30
57,"Điện Ảnh: ""The Great Gatsby"" (Gatsby Vĩ Đại), Oscar 2013",Vincent Le Café  · Hà Nội,2023-01-05,20:30
58,"Điện Ảnh: ""Chuyện Tình ở Barcelona"" (Vicky Cristina Barcelona), 2008",Vincent Le Café  · Hà Nội,2023-01-06,20:30
59,"Phim Kinh Điển: ""Bố Già II"" (The Godfather II), Oscar Lần Thứ 47",Vincent Le Café  · Hà Nội,2023-01-07,14:30
60,"Điện Ảnh: ""Breakfast at Tiffany's"" (Bữa Sáng ở Tiffany's), Oscar 1961",Vincent Le Café  · Hà Nội,2023-01-08,15:30
61,"Điện Ảnh: ""THE GOD FATHER I"" (BỐ GIÀ PHẦN I), Oscar 1972",Vincent Le Café  · Hà Nội,2023-01-09,15:30
62,Arch Duchess of Juke · CeeGee & ZiZi,ARCH. Café Bar & Rooftop  · Hà Nội,2023-01-10,20:30
63,H'ART Co. | Market Vol 2 | LEAP INTO FALL · Hội Chợ Nghệ Thu,ARCH. Café Bar & Rooftop  · Hà Nội,2023-01-11,09:00
64,Someone I Met Today · Film Photography Exhibition,ARCH. Café Bar & Rooftop  · Hà Nội,2023-01-12,18:00
65,Kid Winter Fest,ARCH. Café Bar & Rooftop  · Hà Nội,2023-01-13,11:00
66,THỬ NGHIỆN #3 - OPEN MIC HÀI ĐỘC THOẠI,PHỦI CAFE  · Hà Nội,2023-01-14,20:00
67,Hội Chợ Xuân Giảng Võ 2023,ICE Hanoi  · Hà Nội,2023-01-15,09:00
