,Name,Location,Y/M/D,Start_hour
0,Triển lãm Quốc tế Thực phẩm và Đồ uống 2022 tại Hà Nội,Hoàn Kiếm,2022-11-09,All day
1,"International Conference on Science, Education, and Viable Engineering",Hà Nội,2022-11-09,All day
2,WORK THE NORDIC WAY 2022,InterContinental Hà Nội Westlake,2022-11-09,12:30
3,Hanoi FC Vs Viettel,Sân vận động Hàng Đẫy,2022-11-09,14:15
4,"S P A C E | Phnom Penh, 'Miniparty'",Christina's Hanoi - Secret Garden,2022-11-09,19:00
5,MEET THE EXPERTS - HỘI NGHỊ BĐS & NGHỈ DƯỠNG LỚN NHẤT VIỆT NAM,Meliá Hanoi,2022-11-10,01:30
6,Magnificent Mekong,Hà Nội,2022-11-11,All day
7,Hanoi Motorbike Tours Led By Women: Hanoi City Insight Motorbike Tours,Nhà hát Lớn Hà Nội,2022-11-11,08:00
8,Boarding and High School Fair Vietnam,Hà Nội,2022-11-12,All day
9,Begin Edu Fair- Hanoi,Khách sạn Hilton Hanoi Opera,2022-11-12,All day
10,VIETNAM CYCLE,Hanoi International Center For Exhibition (I.c.e.),2022-11-12,All day
11,Vietnam 2022,Hanoi Vietnam,2022-11-12,07:00
12,Ngày ngôn ngữ Châu Âu 2022 | The European Day of Languages 2022,Viện Goethe Hà Nội,2022-11-12,13:00
13,Begin Edu Fair Hanoi (Vietnam),Pullman Hanoi Hotel,2022-11-12,14:00
14,"Điện Ảnh: ""IT'S A WONDERFUL LIFE"", 1946",Vincent Le Café,2022-11-12,15:00
15,VNAM: A NIGHT OF MODERN & CLASSICAL MUSIC,Phòng hoà nhạc học viện âm nhạc quốc gia việt nam,2022-11-12,20:00
16,Savage Invites Moody Mehran & Discrete Circuit,Savage Hanoi,2022-11-12,22:00
17,Trang An Marathon,Hà Nội,2022-11-13,All day
18,MTA VIETNAM HANOI,Hanoi International Center For Exhibition (I.c.e.),2022-11-13,All day
19,[Offline] Ngày Trải Nghiệm RMIT 2022 tại Hà Nội & Nam Sài Gòn,"Trường Đại Học RMIT, cơ sở Hà Nội",2022-11-13,08:00
20,Ha Noi vs Hà Nội II,Sân vận động Hàng Đẫy,2022-11-13,18:00
21,GALA HAT 2022: (60),Trung tâm Nghệ thuật Âu Cơ,2022-11-13,19:00
22,Hanoi Moped Tours: Hanoi Scooter Food Tours Led By Women,Nhà hát Lớn Hà Nội,2022-11-14,18:00
23,Khoá học: Cuộc Đời Chúa Cứu Thế,Hà Nội,2022-11-14,20:00
24,APRSAF Meeting And Conference,Hà Nội,2022-11-15,All day
25,"HỘI THẢO KHQG ""Giải pháp phát triển kinh tế số và thương mại điện tử bền vững cho Việt Nam""",Trường Đại học Thương mại,2022-11-15,08:00
26,Jeep Tours Hanoi: Half Day City Tours Led By Women,Nhà hát Lớn Hà Nội,2022-11-15,08:00
27,Vietnam AutoExpo,Trung Tâm Hội Nghị Quốc Gia Việt Nam,2022-11-16,06:00
28,Triển lãm quốc tế về CNHT và Chế biến chế tạo VIMEXPO 2022 TNE,Trung tâm Hội chợ Triển lãm quốc tế I.C.E Hà Nội,2022-11-16,07:00
29,Space4Diversity: Promoting Diversity in the Asia-Pacific Space Sector,Sheraton Hanoi Hotel,2022-11-16,09:30
30,Hanoi Speakers: 279th Public Meeting,The Learning Hub,2022-11-16,18:45
31,HANOI BRASS WEEK 2022,Viện Goethe Hà Nội,2022-11-17,All day
32,PRINCESS TOMATO LIVE AT HRC,Hanoi Rock City,2022-11-11,21:00
33,HO TRAM ANH'S ALBUM RELEASE LIVESHOW: The Poetry of Streetlights,Hanoi Rock City,2022-11-13,20:00
34,Bloom • Cosmic Funk • Bloom Preparty • HRC,Hanoi Rock City,2022-11-23,19:30
35,COLD SPHERES 2022,Hanoi Rock City,2022-11-24,20:00
36,"Workshop ""Bích báo hoạ báo""",VCCA Vincom Center for Contemporary Art,2022-11-12,15:00
37,"Triển lãm ""TOẢ IV"" | ""THE FOLIAGE IV"" Exhibition",VCCA Vincom Center for Contemporary Art,2022-11-30,10:00 AND 14 MORE
38,Chiếu phim: 𝗧𝗵𝗲 𝗦𝗲𝗰𝗿𝗲𝘁 𝗢𝗳 𝗞𝗲𝗹𝗹𝘀,CA' Library • Thư viện Kiến trúc - Nghệ thuật,2022-11-11,19:30
39,ArchTalk: Trí tuệ nhân tạo và vũ trụ số sẽ thay đổi kiến trúc như thế nào?,CA' Library • Thư viện Kiến trúc - Nghệ thuật,2022-11-14,19:00
40,"Điện Ảnh: ""About Time"" (Đã Đến Lúc), 2013",Vincent Le Café  · Hà Nội,2022-11-10,20:30
41,"Điện Ảnh: ""Phantom Thread"" (Tình Yêu và Thời Trang), Oscar 2018",Vincent Le Café  · Hà Nội,2022-11-11,20:30
42,"Điện Ảnh: ""Last Christmas"" (Giáng Sinh Năm Ấy), 2019",Vincent Le Café  · Hà Nội,2022-11-12,18:00
43,"Phim dịp Giáng Sinh: ""Home Alone"" (Ở Nhà Một Mình), 1990",Vincent Le Café  · Hà Nội,2022-11-12,19:30
44,"Phim Mồng 4 Tết 2022: ""WUTHERING HEIGHTS"" (ĐỒI GIÓ HÚ), 2009",Vincent Le Café  · Hà Nội,2022-11-19,14:30
